fusion_id,qsim_tester,qsim_line,qsim_both,V_flag_analyze,M_flag_analyze,M_num_reps,V_num_reps,M_tester_total_1,M_Line_total_1,M_Both_total_1,M_tester_total_2,M_Line_total_2,M_Both_total_2,V_tester_total_1,V_Line_total_1,V_Both_total_1,V_tester_total_2,V_Line_total_2,V_Both_total_2,line
Exon_253,0.433944954,0.433944954,0.132110092,1,1,2,2,247,509,171,120,184,61,299,615,184,292,550,201,sample1
Exon_254,0.259067358,0.259067358,0.481865285,1,1,2,2,18,92,152,16,41,52,26,202,230,34,140,204,sample1
Exon_255,0.30202855,0.277235162,0.420736289,1,1,2,2,51,35,77,58,36,106,385,396,668,589,564,1075,sample1
Exon_256,0.151260504,0.151260504,0.697478992,1,1,2,2,29,61,200,53,93,366,15,19,78,15,36,108,sample1
Exon_257,0.5,0.5,0,1,1,2,2,43,58,0,43,90,0,15,23,0,26,27,0,sample1
Exon_258,0.5,0.5,0,1,1,2,2,18,23,0,17,19,0,18,12,0,22,21,0,sample1
Exon_259,0.277777778,0.277777778,0.444444444,1,1,2,2,36,38,35,25,31,27,16,13,14,18,22,12,sample1
Exon_260,0.286682616,0.286682616,0.426634769,1,1,2,2,184,276,423,186,275,377,127,136,225,140,202,300,sample1
Exon_261,0.336340206,0.336340206,0.327319588,1,1,2,2,64,79,81,83,71,83,55,56,67,63,56,73,sample1
Exon_262,0.402153262,0.402786574,0.195060165,1,1,2,2,134,125,39,148,101,68,47,31,21,47,25,20,sample1
Exon_263,0.380196523,0.43159486,0.188208617,1,1,2,2,81,93,45,90,87,44,26,17,9,33,19,8,sample1
Exon_264,0.435005118,0.361310133,0.203684749,1,1,2,2,117,128,56,129,149,60,41,26,13,43,28,12,sample1
Exon_265,0.447409733,0.405023548,0.147566719,1,1,2,2,115,78,40,118,83,38,79,56,11,61,35,17,sample1
Exon_266,0.460966543,0.399362719,0.139670738,1,1,2,2,80,110,31,93,116,37,53,48,11,64,77,15,sample1
Exon_267,0.280445545,0.318316832,0.401237624,1,1,2,2,97,84,45,94,91,55,50,44,21,73,49,24,sample1
Exon_268,0.173772011,0.173772011,0.652455978,1,1,2,2,50,58,158,74,75,226,12,16,38,19,23,49,sample1
